Jammy's Wheels & Deals|123 S Main Street|123-456-7890
87345|2018|Honda|CR-V|SUV|Gray|78500|22500.00
32091|2020|Lexus|ES 300h|Sedan|Red|68200|39000.00
55678|2022|Honda|Civic|Sedan|White|41900|24500.00
91043|2023|Toyota|Camry|Sedan|Red|28100|28000.00
14289|2010|Jeep|Wrangler|Off-Road|Green|155400|14500.00
68702|2021|Subaru|Outback|Wagon|Blue|38700|29800.00
20516|2019|BMW|X5|SUV|Silver|89300|39550.99
76394|2024|Kia|Telluride|SUV|Blue|9800|45995.00
43110|2017|Chevrolet|Corvette|Sport|Yellow|46200|62000.00
98527|2019|Lexus|GX 460|SUV|Black|53500|41999.00
89556|2005|Acura|RSX|Coupe|White|112100|8500.00
11452|2019|Honda|Civic|Sedan|Gray|59000|18500.00
22789|2024|Honda|Civic|Sedan|White|9000|25900.00
34012|2016|Toyota|Camry|Sedan|Black|95000|16200.00
45167|2021|Toyota|Highlander|SUV|Silver|35000|34500.00
56340|2015|Toyota|Sienna|Van|Gold|110000|17800.00
67451|2018|Lexus|IS 350|Sedan|Red|62000|29900.00
78598|2023|Ford|Bronco|SUV|Orange|15000|41200.00
89632|2020|Hyundai|Elantra|Sedan|Blue|45000|16900.00
10826|2014|Mazda|Miata|Coupe|Red|70000|15500.00
